price,bedrooms,bathrooms,sqft_living,sqft_total,floors,condition,grade,built,renovated,living_area_sqft
221900,3,1,,5650,1,3,7,1955,0,1340
538000,3,,2570,7242,2,3,7,1951,1991,1690
180000,2,1,,10000,1,3,6,1933,0,
604000,4,3,1960,5000,1,5,7,1965,0,1360
510000,3,2,1680,8080,1,3,8,1987,0,
1225000,4,4.5,,101930,1,3,11,2001,0,4760
257500,3,2.25,1715,6819,2,3,7,1995,0,
291850,3,1.5,1060,,1,3,7,1963,0,1650
229500,3,1,1780,7470,1,3,7,1960,0,1780
323000,3,2.5,1890,,2,3,7,2003,0,2390
662500,3,2.5,3560,9796,1,3,8,1965,0,2210
468000,2,1,1160,6000,1,4,7,1942,0,1330
310000,3,1,1430,19901,1.5,4,7,1927,0,1780
400000,3,1.75,1370,9680,1,4,7,1977,0,1370
,5,2,1810,4850,1.5,3,7,1900,0,1360
650000,4,3,2950,5000,2,3,9,1979,0,2140
395000,3,2,1890,14040,2,3,7,1994,0,1890
485000,4,1,1600,4300,1.5,4,7,1916,0,1610
189000,2,1,1200,9850,1,4,7,1921,0,1060
230000,3,1,1250,9774,1,4,7,1969,0,1280
385000,4,1.75,1620,4980,1,4,7,1947,0,1400
2000000,3,2.75,3050,44867,1,3,9,1968,0,4110
285000,5,2.5,2270,6300,2,3,8,1995,0,
252700,2,1.5,1070,9643,1,3,7,1985,0,1220
329000,3,2.25,2450,6500,2,4,8,1985,0,2200
233000,3,2,1710,4697,1.5,5,6,1941,0,1030
937000,3,1.75,2450,2691,2,3,8,1915,0,1760
667000,3,1,1400,1581,1.5,5,8,1909,0,1860
438000,3,1.75,1520,6380,1,3,7,1948,0,1520
719000,4,2.5,2570,7173,2,3,8,2005,0,2630
580500,3,2.5,2320,3980,2,3,8,2003,0,2580
280000,2,1.5,1190,1265,3,3,7,2005,0,1390
687500,4,1.75,2330,5000,1.5,4,7,1929,0,1460
535000,3,1,1090,3000,1.5,4,8,1929,0,1570
322500,4,2.75,2060,6659,1,3,7,1981,0,2020
696000,3,2.5,2300,3060,1.5,3,8,1930,2002,1590
550000,4,1,1660,34848,1,1,5,1933,0,2160
640000,4,2,2360,6000,2,4,8,1904,0,1730
240000,4,1,1220,8075,1,2,7,1969,0,1290
605000,4,2.5,2620,7553,2,3,8,1996,0,2620
625000,4,2.5,2570,5520,2,3,9,2000,0,2470
775000,4,2.25,4220,24186,1,3,8,1984,0,2410
861990,5,2.75,3595,5639,2,3,9,2014,0,3625
685000,3,1,1570,2280,2,3,7,1922,0,1580
309000,3,1,1280,9656,1,4,6,1959,0,1340
488000,3,2.5,3160,13603,2,3,8,2003,0,3050
210490,3,1,990,8528,1,3,6,1966,0,1228
785000,4,2.5,2290,13416,2,4,9,1981,0,2680
450000,3,1.75,1250,5963,1,4,7,1953,0,970
1350000,3,2.5,2753,65005,1,5,9,1953,0,2680
228000,3,1,1190,9199,1,3,7,1955,0,1190
